Original,Predict,Score
!,«,1.3451547387270801
!,»,1.370920311000274
!,¬,1.351430080012874
!,~,1.3616037262211096
!,!,1.5904959788332507
!,"""",1.6442839457325504
!,(,1.7167124816683013
!,),1.6614007628517466
!,",",1.697336311926477
!,.,1.5547670906568374
!,:,1.5615881940832126
!,;,1.6652977514786629
!,?,1.5682188903035232
!,[,1.6961957845829452
!,],1.5657549080188828
!,§,1.7005471271826638
!,«,1.5808493023832282
!,»,1.6934223032089843
!,¬,1.5607463484671649
!,~,1.5394999699241565
!,!,1.140749257777013
!,"""",1.1533738403433804
!,(,1.16933965403316
!,),1.171936906324218
!,",",1.1680378900429524
!,.,1.1686252775748633
!,:,1.1507205164036052
!,;,1.167461396768705
!,?,1.139663667195453
!,[,1.1704493573706463
!,],1.1631418822222859
!,§,1.1646520037894215
!,«,1.138550140761627
!,»,1.1610211418671676
!,¬,1.1477781496329387
!,~,1.1373642233416628
!,!,1.3786952458999984
!,"""",1.5192206614519022
!,(,1.5495476758010167
!,),1.545769242871778
!,",",1.5184570225963625
!,.,1.3287738986688304
!,:,1.5127881804662715
!,;,1.349710500454529
!,?,1.3703150947815792
!,[,1.5382540877800426
!,],1.2546595534387743
!,§,1.2119979626872253
!,«,1.2682919400160841
!,»,1.34797533899916
!,¬,1.377346212300054
!,~,1.3692519712953
!,!,0.6545847604013891
!,"""",0.6979103587728669
!,(,0.6981276024102284
!,),0.6891636142493917
!,",",0.7181262488042622
!,.,0.6938127844645594
!,:,0.7017237757368185
!,;,0.691330901796157
!,?,0.6617616737916872
!,[,0.7222795336165408
!,],0.6988867230711788
!,§,0.7207726517097368
!,«,0.6750953802625153
!,»,0.6966299371425301
!,¬,0.6596574087431731
!,~,0.6648956935982818
!,!,1.1083056863339957
!,"""",1.068565678561313
!,(,1.1079695677877706
!,),1.0723897071256008
!,",",1.07016524599918
!,.,1.0755873135584384
!,:,1.0922971528219143
!,;,1.0644834164336625
!,?,1.1412417767037657
!,[,1.0720133729699617
!,],1.0724292485258133
!,§,1.0697289488567772
!,«,1.0494033442611022
!,»,1.0707281720349269
!,¬,1.1158801901121427
!,~,1.089064506828135
!,!,1.4689871565390593
!,"""",1.4632227649179743
!,(,1.467732884103721
!,),1.457254562376218
!,",",1.462037279009723
!,.,1.4546888636601019
!,:,1.5008147520683586
!,;,1.4605270800758319
!,?,1.473026782330228
!,[,1.4651797135677056
!,],1.4052018936688564
!,§,1.4528508415110497
!,«,1.53562138670289
!,»,1.4624405075282325
!,¬,1.452211712052413
!,~,1.472874526744413
!,!,1.3378425200731816
!,"""",1.3662411878739225
!,(,1.355335845048919
!,),1.3583125640991172
!,",",1.3678033685515625
!,.,1.3534346554075738
!,:,1.3627872161319543
!,;,1.363819967339067
!,?,1.3597947110668773
!,[,1.3355541360141256
!,],1.3736118745394836
!,§,1.3512620785554126
!,«,1.3940576759455983
!,»,1.357284295370599
!,¬,1.3626085482942119
!,~,1.3630488443461617
!,!,1.1080928749061207
!,"""",1.1037740582648443
!,(,1.1280423886944368
!,),1.1185799338675404
!,",",1.1137950145038051
!,.,1.1064817991671578
!,:,1.1100796714951031
!,;,1.0979398678881425
!,?,1.1600535371514409
!,[,1.1175522249559877
!,],1.1375184252571855
!,§,1.1183134790226237
!,«,1.1429773316720284
!,»,1.118790435396059
!,¬,1.0630006511491905
!,~,1.107197318674884
!,!,1.0235140471415496
!,"""",1.006303577359381
!,(,0.9695897267507395
!,),0.9651610592686614
!,",",0.96540536468611
!,.,0.9630452006156334
!,:,0.9626091086953683
!,;,0.9587523694472729
!,?,1.0199183082222334
!,[,0.9686399622515838
!,],0.9781762580140084
!,§,0.9789896470953524
!,«,1.0273793118397254
!,»,0.9688133631852096
!,¬,1.022202435315689
!,~,1.0320998643315977
!,!,0.777727161496424
!,"""",0.8111775699306893
!,(,0.8193938010570389
!,),0.7982345743838366
!,",",0.79797199990801
!,.,0.816972546287305
!,:,0.8117411725485203
!,;,0.7989217062769554
!,?,0.7733323725599082
!,[,0.7963679042725441
!,],0.7704646073491898
!,§,0.7973015650574979
!,«,0.7633522240167622
!,»,0.8025965033989112
!,¬,0.7703367829681826
!,~,0.7818462725260895
!,!,0.8774375405763034
!,"""",0.8761370255144101
!,(,0.8645803380423689
!,),0.8799553094408824
!,",",0.870129792355521
!,.,0.8804754438985862
!,:,0.8755756446361855
!,;,0.8800721441034218
!,?,0.8799433402973383
!,[,0.8780189080901761
!,],0.8777173968386934
!,§,0.7872580846312073
!,«,0.8713565516340774
!,»,0.8682136285925371
!,¬,0.8830779575936953
!,~,0.8673945462950369
!,!,0.9659936446970313
!,"""",0.7582475571172277
!,(,0.8187167476790013
!,),0.745570952558081
!,",",0.7507137983518845
!,.,0.8085777449162578
!,:,0.7732329959148991
!,;,0.7981787588374367
!,?,0.9769923313647932
!,[,0.7426329099869119
!,],0.8390319308563137
!,§,0.7517676047039412
!,«,0.8624642142228442
!,»,0.751022955137645
!,¬,0.9518874961441025
!,~,0.8986294947230488
!,!,0.9899045610337114
!,"""",0.8837198268277979
!,(,0.8925605731657348
!,),0.8374105109146093
!,",",0.8742258869907223
!,.,0.9062810502290302
!,:,0.8831527357470783
!,;,0.8837488047457899
!,?,0.9812976967123997
!,[,0.898373071629727
!,],0.9399303225457301
!,§,0.9059366952220327
!,«,0.9064769016333015
!,»,0.8391145212940146
!,¬,0.9909821231645108
!,~,0.9789827399246004
!,!,0.9139619039145221
!,"""",0.878102048970868
!,(,0.8657176895630753
!,),0.8864028476336886
!,",",0.9025202688487625
!,.,0.8666090189964071
!,:,0.8622635288217427
!,;,0.8716146093352041
!,?,0.963942711303747
!,[,0.9371490809850562
!,],0.88740302566239
!,§,0.9014263115216515
!,«,0.9060021553203046
!,»,0.8842686331914245
!,¬,0.945155129255859
!,~,0.9097436468713227
!,!,0.6995613176281922
!,"""",1.5194011026735204
!,(,0.695041031321768
!,),0.7897236221015685
!,",",0.7023243978024983
!,.,0.623069212663668
!,:,1.632344347788719
!,;,0.6926083414838315
!,?,0.7157609280479761
!,[,0.7863845929546679
!,],0.7192772159997806
!,§,0.7555611158803314
!,«,0.6913345849349227
!,»,0.7287520718777338
!,¬,0.6611038528844658
!,~,0.7240983868974272
!,!,0.8875437013707385
!,"""",0.6990596211251741
!,(,0.699552786932552
!,),0.7181090087128631
!,",",0.778751460263355
!,.,0.6947254057543414
!,:,0.6995045634447369
!,;,0.6987739449322607
!,?,0.8169896914913674
!,[,0.7310004675691596
!,],0.7399129115155741
!,§,0.749422422988307
!,«,0.7044981956558537
!,»,0.7332115662215674
!,¬,0.8222740249893538
!,~,0.8175958128149914
!,!,0.753720357953022
!,"""",0.766316767383761
!,(,0.7538009184921646
!,),0.7581712085298141
!,",",0.7693969852389795
!,.,0.739561534249147
!,:,0.7699086096182528
!,;,0.7533497104913816
!,?,0.8021559412202012
!,[,0.7721451505398823
!,],0.7830579954576605
!,§,0.7708129481061807
!,«,0.8074913549300731
!,»,0.7677938323551268
!,¬,0.7749302986815763
!,~,0.8063447622595712
!,!,0.8190980646488485
!,"""",0.885542548416076
!,(,0.818928201236312
!,),0.7881958682770125
!,",",0.8230653032855224
!,.,0.8723639366820537
!,:,0.8051057505423468
!,;,0.777306827316361
!,?,0.8935400341507385
!,[,0.8226913494061674
!,],0.836741996288111
!,§,0.8104813676875775
!,«,0.8542726612489099
!,»,0.8054171726544631
!,¬,0.8922649447705503
!,~,0.8586115878630391
!,!,0.6163433907214443
!,"""",0.5984170777454498
!,(,0.585842164585574
!,),0.6070877456819392
!,",",0.6071113148536279
!,.,0.5975398807100154
!,:,0.6000038517478818
!,;,0.5952523513531803
!,?,0.6771592329694226
!,[,0.6053457861764845
!,],0.6537044733565534
!,§,0.6003420851578171
!,«,0.6248189104171072
!,»,0.5993378688948094
!,¬,0.6020745026160188
!,~,0.594823682854794
"""",!,1.1272778590822108
"""","""",1.1015179925045873
"""",(,1.058534738318845
"""",),1.0879732143215723
"""",",",1.1187520957482526
"""",.,1.0714092652334313
"""",:,1.057876600946459
"""",;,1.0369205322527766
"""",?,1.1057994325963179
"""",[,1.083124074098041
"""",],1.0925843575786989
"""",§,1.080844955047465
"""",«,1.0999367256783166
"""",»,1.182450912047244
"""",¬,1.083012485239948
"""",~,1.0712566979937428
"""",!,0.8866978013169463
"""","""",0.8294813929871585
"""",(,0.7685535425946616
"""",),0.812789782439998
"""",",",0.8100867121152542
"""",.,0.7990550035465763
"""",:,0.8127628924017275
"""",;,0.7522864430885904
"""",?,0.8841410484017722
"""",[,0.8393330961636164
"""",],0.7929833471422759
"""",§,0.8452712804009361
"""",«,0.8279485131660038
"""",»,0.8363809426111709
"""",¬,0.9059526214142724
"""",~,0.8406525436785196
"""",!,0.8323656264689878
"""","""",0.9770575562794576
"""",(,0.9867098425392719
"""",),0.979327639409424
"""",",",0.9813319984654135
"""",.,0.9784293525058047
"""",:,0.9768631315016153
"""",;,0.9790305794057037
"""",?,0.8264380363609503
"""",[,0.9808940186762275
"""",],0.9897412136306386
"""",§,0.9803803450928709
"""",«,2.6298329451391167
"""",»,0.9821094749582969
"""",¬,0.8296032887034187
"""",~,2.490571199141203
"""",!,1.3033458252886085
"""","""",1.312605493598632
"""",(,1.3209236673095979
"""",),1.352104041220501
"""",",",1.3174593535446686
"""",.,1.3187804800858733
"""",:,1.323122078112678
"""",;,1.3160633922893672
"""",?,1.3060673260466629
